ID,車名,支払総額,車両価格,諸費用,色,年式,走行距離,地域,車検,ミッション,駆動方式,整備ノート,排気量,法定整備,動力,修復歴,ワンオーナー,未使用車,禁煙車,外装,内装,機関,修理歴,カーナビ,ETC,スマートキー,盗難防止システム,アイドリングストップ,100V電源,USB入力端子,Bluetooth接続,音楽プレイヤー接続可,CDデッキ,DVDデッキ,テレビ,パワーステアリング,パワーウィンドウ,寒冷地仕様,本革シート,ハーフレザーシート,パワーシート,ベンチシート,フルフラット,シートエアコン,シートヒーター,ローダウン,電動リアゲート,サンルーフ,ディスチャージドランプ,LEDヘッドランプ,アルミホイール,エアロパーツ,エアバッグ,ドライブレコーダー,バックモニターカメラ,全周囲カメラ,フロントカメラ,サイドカメラ,横滑り防止装置,衝突安全ボディ,衝突被害軽減システム,ABS,クルーズコントロール,アダプティブクルーズコントロール,クリアランスソナー,オートライト,レーンアシスト,パークアシスト,自動駐車システム
331,プリウス 1.8,92.7,79.8,12.9,ブラックグレー,2012,7.1,滋賀県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
332,プリウス Ｓマイコーデ,92.7,79.8,12.9,ブラック,2012,7.1,滋賀県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
333,プリウス Ｓ,201.6,189.9,11.7,シルバーメタリック,2020,1.7,京都府,2025/02,AT,2WD,1,1800cc,0,ガソリン,0,0,0,0,NA,NA,NA,NA,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0
334,プリウス Ｓ,64.9,47.7,17.2,ブラック,2013,9.9,奈良県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
335,プリウス Ｓツーリングセレクション,293.8,287,6.8,グレーメタリック,2022,1,滋賀県,2025/01,AT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
336,プリウス Ｓ,199,184,15,シルバー,2020,2.2,兵庫県,車検整備付,AT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
337,プリウス ＳセーフティプラスＩＩ,198.4,185.2,13.2,アティチュードブラックマイカ,2021,4.9,兵庫県,2026/04,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0
338,プリウス Ｓ,109.9,92.8,17.1,ホワイトパールクリスタルシャイン,2015,8.3,和歌山県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,4,4,正常,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0
339,プリウス Ｇ,348,342.1,5.9,パールホワイト,2023,0.0836,兵庫県,2026/07,CVT,2WD,1,2000cc,1,ハイブリッド,1,0,0,1,5,5,正常,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0
340,プリウス Ｘ,370,350,20,ホワイト,2024,0.001,大阪府,2026/11,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
