ID,車名,支払総額,車両価格,諸費用,色,年式,走行距離,地域,車検,ミッション,駆動方式,整備ノート,排気量,法定整備,動力,修復歴,ワンオーナー,未使用車,禁煙車,外装,内装,機関,修理歴,カーナビ,ETC,スマートキー,盗難防止システム,アイドリングストップ,100V電源,USB入力端子,Bluetooth接続,音楽プレイヤー接続可,CDデッキ,DVDデッキ,テレビ,パワーステアリング,パワーウィンドウ,寒冷地仕様,本革シート,ハーフレザーシート,パワーシート,ベンチシート,フルフラット,シートエアコン,シートヒーター,ローダウン,電動リアゲート,サンルーフ,ディスチャージドランプ,LEDヘッドランプ,アルミホイール,エアロパーツ,エアバッグ,ドライブレコーダー,バックモニターカメラ,全周囲カメラ,フロントカメラ,サイドカメラ,横滑り防止装置,衝突安全ボディ,衝突被害軽減システム,ABS,クルーズコントロール,アダプティブクルーズコントロール,クリアランスソナー,オートライト,レーンアシスト,パークアシスト,自動駐車システム
578,プリウス Ｓセーフティプラス,146.3,135,11.3,ホワイトパールクリスタルシャイン,2017,8.3,大阪府,2026/03,CVT,2WD,1,1800cc,0,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
579,プリウス Ａプレミアム,232.4,219.9,12.5,スティールブロンドメタリック,2019,4.8,京都府,2026/01,AT,2WD,1,1800cc,1,ガソリン,0,1,0,0,4,4,正常,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0
580,プリウス Ｓツーリングセレクション,199.5,187.5,12,アティチュードブラックマイカ,2019,7.7,兵庫県,2024/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0
581,プリウス Ａ,130.5,119.8,10.7,ベージュ,2016,5.1,大阪府,2025/03,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
582,プリウス Ｓ,140.5,132,8.5,ホワイトパールクリスタルシャイン,2016,4.5,奈良県,2025/07,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
583,プリウス Ｓセーフティプラス,139.9,127.4,12.5,ホワイトパールクリスタルシャイン,2018,8.8,京都府,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,3,4,正常,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1
584,プリウス Ｓセーフティプラス,179.9,169,10.9,ホワイトパールクリスタルシャイン,2018,5.8,兵庫県,2025/09,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
585,プリウス Ａプレミアム,169.2,159,10.2,エモーショナルレッド,2016,2.8,大阪府,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
586,プリウス Ａプレミアム,218.4,208,10.4,ＡブラックＭ／エモーショナルレッド,2017,3.6,大阪府,2024/12,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
587,プリウス Ｓツーリングセレクション,229,216,13,ホワイトパールクリスタルシャイン,2019,7.1,大阪府,2024/11,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
588,プリウス Ａツーリングセレクション,160.4,149.6,10.8,シルバーＭ,2016,4.8,兵庫県,2025/09,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
589,プリウス Ａプレミアム,211.3,201.3,10,ホワイトパールクリスタルシャイン,2016,1.4,和歌山県,2025/07,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
590,プリウス 1.8,208.7,189.9,18.8,ホワイト,2019,7.5,滋賀県,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
591,プリウス Ｓ,211.7,189.9,21.8,ホワイト,2019,7.4,滋賀県,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
592,プリウス Ｓ,142.3,131,11.3,シルバーＭ,2016,5,兵庫県,2025/07,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
593,プリウス 1.8,167,157,10,パールホワイト,2017,5.7,大阪府,2024/08,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
594,プリウス Ｓセーフティプラス,167,157,10,パールホワイト,2017,5.7,大阪府,2024/08,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0
595,プリウス Ａツーリングセレクション,169.6,159,10.6,シルバーＭ,2016,3.1,大阪府,2025/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
596,プリウス Ｓツーリングセレクション,179.8,169.4,10.4,エモーショナルレッド,2016,2.8,兵庫県,2025/03,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
597,プリウス Ａ,176.2,157,19.2,ダークブルーマイカメタリック,2016,3.2,大阪府,2025/06,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,4,5,正常,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1
598,プリウス Ｓセーフティプラス,154,142,12,ブラック,2018,8.7,滋賀県,2025/05,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,4,4,正常,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
599,プリウス Ｓツーリングセレクション,248.6,237.8,10.8,パール,2019,4.5,滋賀県,2024/07,CVT,2WD,1,1800cc,0,ハイブリッド,0,0,0,0,4,4,正常,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0
600,プリウス Ｓセーフティプラス,174.8,159.8,15,パールホワイト,2018,6,兵庫県,2025/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
601,プリウス Ｓツーリングセレクション,150.5,142,8.5,スティールブロンドメタリック,2016,4.8,奈良県,2025/03,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
602,プリウス Ｓ,59.8,39.8,20,シルバー,2014,9,大阪府,2026/05,CVT,2WD,1,1800cc,1,ハイブリッド,1,1,0,1,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
603,プリウス Ｓ,221.9,209.8,12.1,ホワイト,2021,1.7,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
604,プリウス Ｓ,110.4,99.9,10.5,ブラック,2015,4.7,兵庫県,2024/07,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
605,プリウス ＳセーフティプラスＩＩ,225,208,17,グレーメタリック,2021,2.1,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
606,プリウス Ｓツーリングセレクション,161.1,149.9,11.2,エモーショナルレッド,2016,5.7,兵庫県,2025/04,CVT,2WD,1,1800cc,0,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
607,プリウス Ｓ,69.8,62.8,7,レッド,2012,3.7,大阪府,2025/04,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
608,プリウス Ａ,149.8,141.7,8.1,ダークブルーマイカメタリック,2016,6.2,兵庫県,2025/07,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0
609,プリウス Ｓ,223.5,205.8,17.7,シルバー,2021,2.2,奈良県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0
610,プリウス Ａ,129.6,115,14.6,ホワイト,2016,8.3,大阪府,2025/11,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,3,4,正常,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
611,プリウス Ｓセーフティプラス,132,119.9,12.1,ホワイトパールクリスタルシャイン,2017,11.8,兵庫県,2025/03,AT,2WD,1,1800cc,0,ガソリン,0,0,0,0,4,4,正常,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0
612,プリウス Ｓツーリングセレクション,173.9,162.9,11,パールホワイト,2016,3.9,大阪府,2025/01,CVT,2WD,1,1800cc,0,ハイブリッド,0,0,0,0,3,4,正常,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0
613,プリウス Ｓ,68.6,58,10.6,シルバーＭ,2014,9.9,大阪府,2025/03,CVT,2WD,1,1800cc,0,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
614,プリウス Ａツーリングセレクション,156.5,145.1,11.4,シルバーメタリック,2016,6,兵庫県,2025/06,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0
615,プリウス Ａ,169.2,159,10.2,ホワイトパールクリスタルシャイン,2016,4,大阪府,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0
616,プリウス Ａ,150,141.5,8.5,スティールブロンドメタリック,2016,6,滋賀県,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
617,プリウス Ａ,152.2,147,5.2,スティールブロンドメタリック,2016,6,滋賀県,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0
618,プリウス Ａツーリングセレクション,231.5,219.9,11.6,アティチュードブラックマイカ,2019,5.9,兵庫県,2024/08,AT,2WD,1,1800cc,1,ガソリン,0,0,0,0,4,4,正常,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0
619,プリウス Ａ,139.4,129,10.4,シルバー,2016,5.8,大阪府,2025/04,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
620,プリウス Ｓセーフティプラス,182.5,170,12.5,アティチュードブラックマイカ×ホワイトパールクリスタルシャイ,2018,7.7,大阪府,2025/01,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0
621,プリウス Ｓ,180.1,168,12.1,アティチュードブラックマイカ,2016,4.1,兵庫県,2025/08,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
622,プリウス Ａツーリングセレクション,201.9,189.9,12,アティチュードブラックマイカ,2018,5.4,大阪府,2025/04,CVT,2WD,1,1800cc,1,ガソリン,0,0,0,0,4,4,正常,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0
623,プリウス Ａプレミアム,185,180,5,シルバー,2019,12,大阪府,2026/04,CVT,2WD,1,1800cc,0,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
624,プリウス Ｓツーリングセレクション,79.9,69.9,10,シルバー,2013,3.9,大阪府,2026/04,CVT,2WD,1,1800cc,0,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
625,プリウス Ａ,208.2,200.8,7.4,ホワイトパールクリスタルシャイン,2017,4.9,兵庫県,2024/06,AT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0
626,プリウス Ｓツーリングセレクション・ブラックエディション,229.9,209,20.9,ブラック,2022,2,兵庫県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,1,0,0,1,NA,NA,NA,NA,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
627,プリウス Ｓ,149.9,138.6,11.3,ホワイトパールクリスタルシャイン,2016,5.8,兵庫県,2025/01,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0
628,プリウス Ａツーリングセレクション,195.2,184.9,10.3,ホワイトパールクリスタルシャイン,2018,5.1,滋賀県,2025/03,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
629,プリウス Ａツーリングセレクション,148.5,138,10.5,スティールブロンドメタリック,2018,10.8,大阪府,2025/01,CVT,2WD,1,1800cc,0,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
630,プリウス Ａツーリングセレクション,129.8,116.1,13.7,レッド,2016,8.4,兵庫県,2025/07,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
631,プリウス Ｓ,138.7,128,10.7,スティールブロンドメタリック,2016,6.4,大阪府,2025/05,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
632,プリウス Ｓ,206.7,194.8,11.9,エモーショナルレッド２,2021,2,滋賀県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
633,プリウス Ｓ,116,103,13,パールホワイト,2016,9.1,大阪府,2026/04,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
634,プリウス Ｓ,72.6,59.8,12.8,パールホワイト,2013,4.3,大阪府,2024/08,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,3,4,正常,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
635,プリウス Ｓ,159.9,134,25.9,ホワイト,2018,9.3,大阪府,2025/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
636,プリウス Ｓツーリングセレクション,220,209.8,10.2,パールホワイト,2019,8.2,兵庫県,2026/06,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
637,プリウス Ｓ,77,69,8,パールホワイト,2014,7.5,和歌山県,2025/03,CVT,2WD,1,1800cc,0,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
638,プリウス Ｓ,85,77,8,シルバー,2012,3.9,兵庫県,2025/05,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
639,プリウス Ａプレミアム,155,145,10,アティチュードブラックマイカ,2018,11,兵庫県,2025/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0
640,プリウス Ｓ,221.5,199.8,21.7,ブラック,2018,5.3,大阪府,2025/05,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,5,正常,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
641,プリウス Ｓツーリングセレクション,238,228,10,パールホワイト,2019,5.7,滋賀県,2024/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
642,プリウス Ｓ,120,105,15,パール,2016,8.9,兵庫県,2025/01,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
643,プリウス 1.8,114,97.1,16.9,ホワイト,2015,5.1,大阪府,2024/10,CVT,2WD,1,1790cc,0,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
644,プリウス Ｓセーフティプラス,194,175.9,18.1,ブラック,2017,7.8,滋賀県,2025/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
645,プリウス Ｓツーリングセレクション,211.9,199.8,12.1,ホワイト,2021,2.9,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
646,プリウス ＳセーフティプラスＩＩ,231.1,219.8,11.3,パール,2021,1.3,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0
647,プリウス Ｌ,54.9,47,7.9,シルバー,2011,4.3,大阪府,2024/09,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
648,プリウス Ｓ,94.9,82.6,12.3,ホワイトパールクリスタルシャイン,2015,9.3,大阪府,2024/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
